id,anunciante,titulo,municipio,zona,precio_eur,precio_anterior_eur,descuento_pct,superficie_m2,tipo_suelo,referencia_catastral,notas
352,SONSOLES GRUPO INMOBILIARIO,"Terreno en Reocín",Reocín,Villapresente,45000,,,711,"No urbanizable",,
353,Asesoría Inmobiliaria Santos S.L.,"Terreno en Villanueva de la Peña, Mazcuerras",Mazcuerras,Villanueva de la Peña,95000,,,1201,"Urbano (solar)",,
354,SONSOLES GRUPO INMOBILIARIO,"Terreno en Reocín",Reocín,Villapresente,69000,,,3016,"No urbanizable",,
355,Asesoría Inmobiliaria Santos S.L.,"Terreno en La Illa, Mazcuerras",Mazcuerras,La Illa,24000,,,3937,"No urbanizable",,
356,Asesoría Inmobiliaria Santos S.L.,"Terreno en Ontoria, Cabezón de la Sal",Cabezón de la Sal,Ontoria,85000,,,3502,"Urbano (solar)",,"Uso industrial"
357,Asesoría Inmobiliaria Santos S.L.,"Terreno en Av. Constitución, Cabezón de la Sal",Cabezón de la Sal,,185000,,,1314,"Urbano (solar)",,
358,,"Terreno en Barrio Liaño, Villaescusa",Villaescusa,Liaño,60000,,,3949,"Urbano (solar)",,"Parte rústico; segregable"
359,IMAZ&RUIZ,"Terreno en Hoznayo",Entrambasaguas,Hoznayo,75000,,,800,"Urbano (solar)",,
360,IMAZ&RUIZ,"Terreno en Santa María de Cayón",Santa María de Cayón,La Paul,43000,,,11800,"No urbanizable",,
361,,"Terreno en Penagos",Penagos,El Arenal,99890,,,10704,"No urbanizable",,
362,Veri Corral Inmobiliaria,"Terreno en Ganzo, Torrelavega",Torrelavega,Ganzo,97000,,,5123,Urbanizable,,
363,EC Inmobiliaria,"Terreno en Hoz de Anero",Ribamontán al Monte,Hoz de Anero,80000,,,1888,Urbanizable,,
364,Activa Norte Gestión Inmobiliaria,"Terreno en Santa María de Cayón",Santa María de Cayón,Lloreda,12000,,,1881,"No urbanizable",,
365,,"Terreno en Galizano",Ribamontán al Mar,Galizano,371000,391000,5,3000,"Urbano (solar)",,
366,Oyambre Servicios Inmobiliarios,"Terreno en Galizano",Ribamontán al Mar,Galizano,371000,,,3009,"Urbano (solar)",,
367,Inmobiliaria Vacaciones,"Terreno en Villaverde de Pontones",Ribamontán al Monte,Villaverde,150000,,,1395,"Urbano (solar)",,
368,cadacasa,"Terreno en Presmanes, Marina de Cudeyo",Marina de Cudeyo,Gajano,100000,,,7855,"No urbanizable",,
369,cadacasa,"Terreno en La Cavada, Marina de Cudeyo",Marina de Cudeyo,La Cavada,210000,220000,5,4128,"Urbano (solar)",,
370,33 Elefantes,"Terreno en Loredo",Ribamontán al Mar,Loredo,292000,,,640,"Urbano (solar)",,
371,Trece Home,"Terreno en Ribamontán al Monte",Ribamontán al Monte,Anero,125000,,,15500,Urbanizable,,
372,Ficontas,"Terreno en Galizano",Ribamontán al Mar,Galizano,371000,,,3000,"Urbano (solar)",,
373,Gestion inmobiliaria gumar,"Terreno en Ibio, Mazcuerras",Mazcuerras,Ibio,130000,,,7132,Urbanizable,,"Licencia y proyecto"
374,Inmobiliaria montaña,"Terreno en Vargas",Puente Viesgo,Vargas,90000,,,281,,,"Parcelas industriales"
375,Colsol,"Terreno en Solares",Medio Cudeyo,Solares,180000,,,1093,"Urbano (solar)",,
376,Inmobiliaria Cantabria,"Terreno en Los Corrales de Buelna",Los Corrales de Buelna,,115000,,,333,Urbanizable,,"Proyecto+licencia"
377,Look & Find Santander,"Terreno en Pomaluengo",Castañeda,Pomaluengo,95000,,,2013,Urbanizable,,
378,ORDUNTE Inmobiliaria,"Terreno en Entrambasaguas",Entrambasaguas,La Riestre,62500,,,660,"Urbano (solar)",,
379,EC Inmobiliaria,"Terreno en Bareyo",Bareyo,Pedredo,38000,,,5289,"No urbanizable",,
380,,"Terreno en Gajano",Marina de Cudeyo,Gajano,115000,,,675,"Urbano (solar)",,"Proyecto en vigor"
381,,"Terreno en Carriazo",Ribamontán al Mar,Carriazo,220000,,,45000,Urbanizable,,"Casa en ruinas"
382,,"Terreno en El Astillero",El Astillero,,560800,,,2559,"No urbanizable",,
383,Inmoreco Torrelavega S.L.,"Terreno en Udías",Udías,Pumalverde,98000,,,2577,"Urbano (solar)",,
384,Gestion Inmobiliaria Crisser,"Terreno en Bareyo",Bareyo,Manzaneda,23000,,,7694,"No urbanizable",,
385,,"Terreno en Guarnizo",Astillero,Guarnizo,90000,,,1016,"Urbano (solar)",,
386,,"Terreno en Guarnizo",Astillero,Guarnizo,335000,,,1872,Urbanizable,,
387,,"Terreno en Ribamontán al Monte",Ribamontán al Monte,Anero,70000,,,10000,Urbanizable,,
388,,"Terreno en Villaescusa",Villaescusa,,145000,,,4500,Urbanizable,,
389,,"Terreno en Ribamontán al Monte",Ribamontán al Monte,,35000,,,1500,Urbanizable,,
390,,"Terreno en Ribamontán al Monte",Ribamontán al Monte,Las Pilas,149000,,,16000,Urbanizable,,
391,,"Terreno en uhj49, Entrambasaguas",Entrambasaguas,,49000,,,1100,"Urbano (solar)",,
392,,"Terreno en Barrio Pontejos-La Cavada, Marina de Cudeyo",Marina de Cudeyo,Pontejos,120000,150000,20,3600,Urbanizable,,
393,,"Terreno en opl79, Ribamontán al Monte",Ribamontán al Monte,Las Pilas,79000,,,8000,Urbanizable,,
394,,"Terreno en eeb28, Entrambasaguas",Entrambasaguas,,28000,,,9139,"No urbanizable",,
395,,"Terreno en Urbanización La Cabaña, Ribamontán al Monte",Ribamontán al Monte,Villaverde,159000,,,1000,"Urbano (solar)",,"Proyecto+licencia"
396,,"Terreno en Calle la Robleda, Cartes",Cartes,Santiago de Cartes,540000,,,2929,"Urbano (solar)",,
397,,"Terreno en ola59, Ribamontán al Monte",Ribamontán al Monte,Liermo,59000,,,5600,Urbanizable,,
398,,"Terreno en ope81, Ribamontán al Monte",Ribamontán al Monte,,81000,,,7500,Urbanizable,,
399,,"Terreno en oem48, Entrambasaguas",Entrambasaguas,,48000,,,4300,Urbanizable,,
400,Activa Norte Gestión Inmobiliaria,"Terreno en Ca-408, Penagos",Penagos,,55000,,,3543,,,
401,THE SIBARIST Property & Homes Cantabria,"Terreno en Comillas",Comillas,,1200000,,,3863,"Urbano (solar)",,
402,Gestión Inmobiliaria Val de Cella,"Terreno en Puente Agüero, Entrambasaguas",Entrambasaguas,Puente Agüero,65000,,,3417,"Urbano (solar)",,
403,Gestión Inmobiliaria Val de Cella,"Terreno en Rubayo, Marina de Cudeyo",Marina de Cudeyo,Rubayo,95000,,,2120,,,
404,Gestion inmobiliaria gumar,"Terreno en Comillas",Comillas,Trasvía,650000,,,1276,"Urbano (solar)",,
405,cadacasa,"Terreno en La Cavada, Marina de Cudeyo",Marina de Cudeyo,La Cavada,190000,200000,5,2700,"Urbano (solar)",,
406,,"Terreno en Gajano, Marina de Cudeyo",Marina de Cudeyo,Gajano,85000,,,2097,Urbanizable,,
407,Gestión Inmobiliaria Crisser,"Terreno en Bareyo",Bareyo,Güemes,150000,,,2975,"Urbano (solar)",,
408,El Viso Inmobiliaria,"Terreno en Cóbreces, Alfoz de Lloredo",Alfoz de Lloredo,Cóbreces,450000,,,2700,"Urbano (solar)",,
409,,"Terreno en Socabarga, Medio Cudeyo",Medio Cudeyo,Santiago de Cudeyo,85000,,,3162,"No urbanizable",,"Parte urbana"
410,Gestión Inmobiliaria Crisser,"Terreno en Camino Real, Bareyo",Bareyo,,55000,,,600,"Urbano (solar)",,
411,Jose Antonio Rodriguez Asesores,"Terreno en Hoznayo",Entrambasaguas,Hoznayo,75000,89000,16,1000,"Urbano (solar)",,
412,Gestión Inmobiliaria Crisser,"Terreno en Bareyo",Bareyo,Güemes,375000,,,4882,"Urbano (solar)",,
413,Gestion inmobiliaria gumar,"Terreno en Fresnedo, Alfoz de Lloredo",Alfoz de Lloredo,Fresnedo,180000,,,1427,"Urbano (solar)",,"Licencia+proyecto"
414,MARVALLAR,"Terreno en Guarnizo",Astillero,Guarnizo,550000,,,2125,"Urbano (solar)",,
415,Inmobiliaria Cantabria,"Terreno en Los Corrales de Buelna",Los Corrales de Buelna,,100000,,,1000,"Urbano (solar)",,
416,,"Terreno en Barrio Periedo, Cabezón de la Sal",Cabezón de la Sal,Periedo,190000,200000,5,2216,"Urbano (solar)",,
417,Oyambre Servicios Inmobiliarios,"Terreno en Golbardo, Reocín",Reocín,Golbardo,140000,,,5040,"Urbano (solar)",6396002V,
418,Gestión Inmobiliaria Val de Cella,"Terreno en Heras, Medio Cudeyo",Medio Cudeyo,Heras,165000,,,3382,,,
419,Gestión Inmobiliaria Val de Cella,"Terreno en Omoño, Ribamontán al Monte",Ribamontán al Monte,Omoño,75000,,,5604,"Urbano (solar)",,
420,Inmobiliaria Vacaciones,"Terreno en Somo",Ribamontán al Mar,Somo,721000,,,4239,"Urbano (solar)",,
421,Inmobiliaria SOMOPLAYA / INMOLOREDO,"Terreno en Loredo",Ribamontán al Mar,Loredo,1850000,,,10380,"Urbano (solar)",,
422,Oyambre Servicios Inmobiliarios,"Terreno en Torrelavega",Torrelavega,Barreda,187600,,,39723,Urbanizable,,
423,Gestion inmobiliaria gumar,"Terreno en Luaña, Alfoz de Lloredo",Alfoz de Lloredo,Luaña,250000,,,2298,Urbanizable,,"Licencia CROTU"
424,Inmobiliaria SOMOPLAYA / INMOLOREDO,"Terreno en Somo",Ribamontán al Mar,Somo,245000,,,507,"Urbano (solar)",,
425,Oyambre Servicios Inmobiliarios,"Terreno en Centro, Torrelavega",Torrelavega,Centro,19000,,,113,"Urbano (solar)",,
426,,"Terreno en Los Corrales de Buelna",Los Corrales de Buelna,La Contrina,84000,,,8709,"Urbano (solar)",,
427,cadacasa,"Terreno en Santa María de Cayón",Santa María de Cayón,,190000,,,1969,"Urbano (solar)",,
428,33 Elefantes,"Terreno en Hoz de Anero",Ribamontán al Monte,Hoz de Anero,189000,,,28105,"No urbanizable",,
429,EC Inmobiliaria,"Terreno en Galizano",Ribamontán al Mar,Galizano,225000,,,4160,"No urbanizable",,
430,,"Terreno en Santa María de Cayón",Santa María de Cayón,,70000,,,650,,,
431,Inmobiliaria SOMOPLAYA / INMOLOREDO,"Terreno en Somo",Ribamontán al Mar,Somo,150000,,,500,"Urbano (solar)",,
432,Activa Norte Gestión Inmobiliaria,"Terreno en San Felices de Buelna",San Felices de Buelna,San Felices,58000,,,840,"Urbano (solar)",,
433,Inmobiliarias San Fernando,"Terreno en Alfoz de Lloredo",Alfoz de Lloredo,Caborredondo,210000,,,3615,"Urbano (solar)",,
434,Inmobiliarias San Fernando,"Terreno en Los Corrales de Buelna",Los Corrales de Buelna,Coo,55000,,,1811,"No urbanizable",,
435,33 Elefantes,"Terreno en Hoz de Anero",Ribamontán al Monte,Hoz de Anero,189000,,,28165,"No urbanizable",,
436,EC Inmobiliaria,"Terreno en San Salvador, Medio Cudeyo",Medio Cudeyo,San Salvador,300000,,,2113,"Urbano (solar)",,
437,33 Elefantes,"Terreno en Loredo",Ribamontán al Mar,Loredo,1190000,,,7337,"Urbano (solar)",,
438,GRUPO INMOBILIARIO ALESÓN,"Terreno en Argomilla, Santa María de Cayón",Santa María de Cayón,Argomilla,180000,,,4174,"Urbano (solar)",,
439,Reines Grupo Inmobiliario Santander,"Terreno en Penagos",Penagos,,285000,,,4182,"Urbano (solar)",,
440,GIFINCAS,"Terreno en Santa María de Cayón",Santa María de Cayón,,790000,,,150000,,,
441,Inmobiliaria Cantabria,"Terreno en San Felices de Buelna",San Felices de Buelna,,65000,,,4172,Urbanizable,,
442,Normafín Inmobiliaria,"Terreno en Reocín",Reocín,Valles,950000,,,70110,"No urbanizable",,
443,Inmobiliaria Cantabria,"Terreno en Los Corrales de Buelna",Los Corrales de Buelna,La Contrina,75000,,,11087,Urbanizable,,
444,,"Terreno en Cartes",Cartes,,750000,,,2676,"Urbano (solar)",,
445,Gestion inmobiliaria gumar,"Terreno en Ruiloba",Ruiloba,Sierra,450000,,,1512,"Urbano (solar)",,
446,compracasa-online,"Terreno en Novales",Alfoz de Lloredo,Novales,270000,,,1507,"Urbano (solar)",,
447,Inmobiliaria Vacaciones,"Terreno en Ribamontán al Monte",Ribamontán al Monte,Pontones,155000,,,3856,Urbanizable,,
448,Inmobiliaria Cantabria,"Terreno en San Felices de Buelna",San Felices de Buelna,Mata,45000,,,690,Urbanizable,,
449,Inmobiliaria PAS-NuevoPiso,"Terreno en Villaescusa",Villaescusa,Santa Rosa,795000,,,20551,"Urbano (solar)",,
450,Inmobiliaria Vacaciones,"Terreno en Loredo",Ribamontán al Mar,Loredo,312000,,,678,"Urbano (solar)",,
451,,"Terreno en Entrambasaguas",Entrambasaguas,,64800,75600,14,1622,"No urbanizable",,
452,Gestion inmobiliaria gumar,"Terreno en Reocín",Reocín,Antoñan,2500000,,,6647,"Urbano (solar)",,
453,Colsol,"Terreno en Ribamontán al Monte",Ribamontán al Monte,,82000,,,428,"Urbano (solar)",,
454,ALFAPLAYAS,"Terreno en Mazcuerras",Mazcuerras,Villanueva de la Peña,54000,,,500,"Urbano (solar)",,
455,,"Terreno en Puente Viesgo",Puente Viesgo,Hijas,49000,,,5001,Urbanizable,,
456,,"Terreno en Castañeda",Castañeda,La Tejera,26500,,,8486,"No urbanizable",,
457,,"Terreno en Santa María de Cayón",Santa María de Cayón,Lloreda,29800,,,5821,"No urbanizable",,
458,,"Terreno en Puente Viesgo",Puente Viesgo,Revía,110000,,,10749,Urbanizable,,
459,,"Terreno en Ribamontán al Monte",Ribamontán al Monte,Estradas,60000,,,3006,Urbanizable,,
460,,"Terreno en Heras, Medio Cudeyo",Medio Cudeyo,Heras,430000,,,3518,"Urbano (solar)",6253001VP3065S0001OY,
461,,"Terreno en Sobremazas",Medio Cudeyo,Sobremazas,90000,,,2270,"Urbano (solar)",,
462,ASJ Inmobiliaria,"Terreno en Coo",Los Corrales de Buelna,Coo,700000,,,13073,"Urbano (solar)",,
463,EC Inmobiliaria,"Terreno en Loredo",Ribamontán al Mar,Loredo,250000,,,6070,Urbanizable,,
464,VIVRA Real Estate,"Terreno en Marina de Cudeyo",Marina de Cudeyo,Pontejos,140000,,,3000,Urbanizable,,
465,,"Terreno en Reocín",Reocín,Caranceja,159000,,,6336,"Urbano (solar)",5591054VN0959S0001UA,
466,,"Terreno en Tanos, Torrelavega",Torrelavega,Tanos,187600,,,39723,Urbanizable,,
467,,"Terreno en Penagos",Penagos,,110000,,,7522,Urbanizable,39048A301001890000JY,
468,Inmobiliaria PAS-NuevoPiso,"Terreno en Herrera de Ibio, Mazcuerras",Mazcuerras,Herrera de Ibio,67000,,,2330,"No urbanizable",,
469,Tecnocasa Santander,"Terreno en Guarnizo",Astillero,Guarnizo,179900,,,1185,"Urbano (solar)",,
470,cadacasa,"Terreno en Medio Cudeyo",Medio Cudeyo,Heras,60000,,,673,"Urbano (solar)",,
471,EC Inmobiliaria,"Terreno en Medio Cudeyo",Medio Cudeyo,Hermosa,90000,,,2806,"Urbano (solar)",,
472,cadacasa,"Terreno en Medio Cudeyo",Medio Cudeyo,Heras,64000,,,689,"Urbano (solar)",,
473,,"Terreno en Ribamontán al Monte",Ribamontán al Monte,,100000,,,7753,Urbanizable,,
474,cadacasa,"Terreno en Medio Cudeyo",Medio Cudeyo,Heras,87000,,,970,"Urbano (solar)",,
475,cadacasa,"Terreno en Medio Cudeyo",Medio Cudeyo,Heras,60000,,,711,"Urbano (solar)",,
476,VIVRA Real Estate,"Terreno en Marina de Cudeyo",Marina de Cudeyo,Pontejos,190000,,,4468,Urbanizable,,
477,,"Terreno en Cabezón de la Sal",Cabezón de la Sal,,115000,,,1350,"Urbano (solar)",,
478,cadacasa,"Terreno en Santa María de Cayón",Santa María de Cayón,,190000,,,1969,"Urbano (solar)",,
479,,"Terreno en Entrambasaguas",Entrambasaguas,,999999,,,87000,"Urbano (solar)",,
480,,"Terreno en Penagos",Penagos,,60000,,,1831,Urbanizable,,
481,,"Terreno en Argomilla, Santa María de Cayón",Santa María de Cayón,Argomilla,68700,,,547,"Urbano (solar)",,
482,,"Terreno en Quijas, Reocín",Reocín,Quijas,140000,,,91733,"No urbanizable",39060A011000040000FK,
483,COSTA NORTE Inmobiliaria,"Terreno en Puente San Miguel",Reocín,Puente San Miguel,250000,,,1009,"Urbano (solar)",,
484,Inmobiliaria SOMOPLAYA / INMOLOREDO,"Terreno en Somo",Ribamontán al Mar,Somo,170000,,,500,"Urbano (solar)",,
485,InmoPrime21,"Terreno en Reocín",Reocín,La Veguilla,127000,,,3259,"Urbano (solar)",,
486,Inmobiliaria SOMOPLAYA / INMOLOREDO,"Terreno en Galizano",Ribamontán al Mar,Galizano,145000,,,9830,"Urbano (solar)",,
487,,"Terreno en Galizano",Ribamontán al Mar,Galizano,371000,,,3009,"Urbano (solar)","6031012VP4163S0001JS|6031013VP4163S0001ES",
488,,"Terreno en Reocín",Reocín,Golbardo,130000,,,5359,"Urbano (solar)",,
489,Inmobiliaria SOMOPLAYA / INMOLOREDO,"Terreno en Rubayo, Marina de Cudeyo",Marina de Cudeyo,Rubayo,130000,,,3500,"Urbano (solar)",,
490,,"Terreno en Ribamontán al Monte",Ribamontán al Monte,Cubas,99000,,,1100,Urbanizable,,
491,Oyambre Servicios Inmobiliarios,"Terreno en El Astillero",El Astillero,,560800,623800,10,3000,"Urbano (solar)",3457409VP3035N0001HO,
492,,"Terreno en Entrambasaguas",Entrambasaguas,,89000,99000,10,1293,"Urbano (solar)",,
493,Trece Home,"Terreno en Ribamontán al Monte",Ribamontán al Monte,,73000,,,2500,Urbanizable,,
494,,"Terreno en Santa María de Cayón",Santa María de Cayón,,131500,,,4810,"Urbano (solar)",,
495,,"Terreno en Langre, Ribamontán al Mar",Ribamontán al Mar,Langre,390000,,,1500,"Urbano (solar)",,
496,Exclusivas inmobiliarias mikeli,Terreno,Venta,"Barrio la Fuente, Solares","Medio Cudeyo (Valdecilla)",Cantabria,390000,3600,"Urbano (según texto)","Texto indica Valdecilla (Medio Cudeyo) y 'parcela urbana'; ubicación inicial dice Solares"
497,Inmobiliaria Eurocasa,Terreno,Venta,"CA-409, Penagos",Penagos,Cantabria,120000,4877,"No urbanizable","Texto indica: terreno rústico con proyecto de vivienda y autorización"
498,Exclusivas inmobiliarias mikeli,Terreno,Venta,"Barrio el Cagigal, Ribamontán al Monte",Ribamontán al Monte,Cantabria,195000,4211,"Urbano (según texto)","Texto indica posibilidad de construir 2 viviendas"
499,Exclusivas inmobiliarias mikeli,Terreno,Venta,"Barrio V. Peña, Mazcuerras",Mazcuerras,Cantabria,179000,5834,"No especificado","Servicios a pie (saneamiento/agua/luz) según texto"
500,LOCALIA INMOBILIARIA,Terreno,Venta,"Barrio la Iglesia, s/n, Alfoz de Lloredo (Novales)",Alfoz de Lloredo,Cantabria,636000,3313,"Urbano (solar)","Texto menciona finca total 21.708 m² + proyecto/licencia para 12 chalets (ojo: superficie del anuncio 3.313 m²)"
501,altamira21.com,Terreno,Venta,"Barrio Ibio, 64, Mazcuerras",Mazcuerras,Cantabria,163500,2680,"Urbano (solar)","Texto: edificabilidad 1 m3/m2; aprox 925 m2; 5 chalets de 180 m2 (según anuncio)"
502,Inmosantander,Terreno,Venta,"Barrio Pontejos, Marina de Cudeyo",Marina de Cudeyo,Cantabria,120000,1589,"Urbanizable","Ligera inclinación; vistas a Peñacabarga (según texto)"
503,Inmosantander,Terreno,Venta,"Barrio Pontejos, Marina de Cudeyo",Marina de Cudeyo,Cantabria,220000,4087,"Urbanizable","No especificado"
504,RE/MAX Vértice,Terreno,Venta,"Barrio Helguera, Reocín",Reocín,Cantabria,880000,20209,"Urbanizable","Incluye construcción existente 414 m2 (según texto)"
505,Inmosantander,Terreno,Venta,"Barrio Pontejos, Marina de Cudeyo",Marina de Cudeyo,Cantabria,145000,2934,"Urbanizable","No especificado"
506,FRESNO GESTION Y VENTA,Terreno,Venta,"Barrio Cóbreces, Alfoz de Lloredo",Alfoz de Lloredo,Cantabria,430000,2609,"Urbano (solar)","Texto: posibilidad de desarrollar hasta 4 chalets"
507,Inmobiliaria Mai Home,Terreno,Venta,"Barrio Valles, Reocín",Reocín,Cantabria,280000,2949,"Urbanizable","Texto: dos parcelas (una junto villas; otra en polígono industrial)"
508,Inmobiliaria las Dunas,Terreno,Venta,"Valles, Reocín",Reocín,Cantabria,55000,400,"Urbano (solar)","Texto: servicios; unifamiliar 2 plantas; porches 50%; sótano no computa (según anuncio)"
509,Bahía Home,Terreno,Venta,"Barrio Obregón, 144, Villaescusa",Villaescusa,Cantabria,189000,1874,"Urbano (solar)","Texto: hasta 4 chalets; 'Proyecto Altamira' (según anuncio)"
510,altamira21.com,Terreno,Venta,"Carretera Nacional 634, Castañeda",Castañeda,Cantabria,85000,4779,"Urbanizable","Texto: volumetría 10% por planta; casa 2 plantas (según anuncio)"
511,Bahía Home,Terreno,Venta,"San Salvador, 26, Medio Cudeyo",Medio Cudeyo,Cantabria,218000,2180,"Urbano (solar)","'Proyecto Altamira' (según anuncio)"
512,Inmobiliaria Barrio,Terreno,Venta,"Barrio la Penilla, Santa María de Cayón",Santa María de Cayón,Cantabria,546000,7000,"Urbano (solar)","Texto: edificabilidad 0,5 m2/m2"
513,altamira21.com,Terreno,Venta,"Barrio Valles, Reocín",Reocín,Cantabria,115000,2603,"Urbano (solar)","No especificado"
514,"Inmobiliaria Zubia & Marisol Ceballos",Terreno,Venta,"Calle la Industria, 32, El Astillero",El Astillero,Cantabria,560800,4363,"Urbano (solar)","Texto: edificabilidad total 5.453,75 m2t (ojo: el anuncio mezcla 4.363 m2 y 5.453 m2t)"
515,Opportunity & Deal,Terreno,Venta,"Barrio la Virgen, Udías",Udías,Cantabria,75000,218,"Urbano (solar)","No especificado"
516,Engel & Völkers Santander,Terreno,Venta,"Barrio Abadilla, Santa María de Cayón",Santa María de Cayón,Cantabria,175000,41141,"Urbano (solar)","Texto lo describe como parcela agraria; clasif. podría ser inconsistente"
517,Engel & Völkers Santander,Terreno,Venta,"Barrio la Riva, Villaescusa (Villanueva)",Villaescusa,Cantabria,565000,8720,"Urbanizable","Texto: 'finca urbana' pero ficha pone urbanizable"
518,Engel & Völkers Santander,Terreno,Venta,"CA-142, Santa María de Cayón",Santa María de Cayón,Cantabria,498000,86420,"Urbano (solar)","Texto: finca rústica con vivienda para reformar + cuadra; posible inconsistencia"
519,inmobiliaria diego,Terreno,Venta,"Calle Helguera, Penagos",Penagos,Cantabria,125000,1646,"Urbano (solar)","Precio anterior 139.000€ (-10%)"
520,eXp Realty España,Terreno,Venta,"Barrio la Iglesia, 1A, Ribamontán al Monte (Anero - Alto Marín)",Ribamontán al Monte,Cantabria,150000,14764,"Urbanizable","No especificado"
521,Prada&Asociados,Terreno,Venta,"Cabezón de la Sal (Casar de Periedo)",Cabezón de la Sal,Cantabria,59000,304,"Urbano (solar)","Edificabilidad 35%; ocupación 30%; almacén ~45 m2 (según texto)"
522,gestiona inmobiliaria,Terreno,Venta,"Ribamontán al Monte",Ribamontán al Monte,Cantabria,120000,8126,"No urbanizable","Texto dice 'parcela urbanizable' pero ficha pone no urbanizable"
523,Habitar Servicios Inmobiliarios,Terreno,Venta,"Barrio San Juan, 188, Villaescusa (Liaño)",Villaescusa,Cantabria,1600000,5328,"Urbanizable","Proyecto con licencia para 16 unifamiliares (12 ind.+4 pareadas)"
524,Inmobiliaria Sebrango,Terreno,Venta,"Urbanización la Cabaña, 55, Ribamontán al Monte (Villaverde de Pontones)",Ribamontán al Monte,Cantabria,120000,1184,"Urbano (solar)","No especificado"
525,Gestión Inmobiliaria Val de Cella,Terreno,Venta,"CA-161, Medio Cudeyo (Hermosa)",Medio Cudeyo,Cantabria,250000,36000,"No especificado","Finca 36.000 m2; edificación 550 m2 (según texto)"
526,eXp Realty España,Terreno,Venta,"Barrio Cuatro Caminos, 170B, Marina de Cudeyo (Elechas)",Marina de Cudeyo,Cantabria,110000,714,"Urbano (solar)","RE-2; edificabilidad 0,35 m2/m2 (~250 m2 techo); B+1 hasta 7m a cornisa (según texto)"
527,RE/MAX Vértice,Terreno,Venta,"Calle Santander (Ramón y Cajal), Los Corrales de Buelna",Los Corrales de Buelna,Cantabria,140000,1144,"Urbano (solar)","No especificado"
528,Gestión Inmobiliaria Val de Cella,Terreno,Venta,"CA-142, Santa María de Cayón (La Encina)",Santa María de Cayón,Cantabria,130000,1635,"No especificado","Servicios a pie (según texto)"
529,altamira21.com,Terreno,Venta,"Barrio Las Tejas, s/n, Santa María de Cayón (Argomilla de Cayón)",Santa María de Cayón,Cantabria,50000,2250,"Urbanizable","No especificado"
530,altamira21.com,Terreno,Venta,"Camino Real, 1048, Bareyo",Bareyo,Cantabria,450000,4613,"Urbano (solar)","Texto: apta para hasta 5 chalets; ocupación bruta 30%; edificabilidad 50%"
531,Inmobiliarias San Fernando,Terreno,Venta,"Barrio Puente San Miguel, 7, Villapresente",Reocín,Cantabria,99000,2224,"Urbanizable","Texto lo llama 'no urbanizable' pero dice informe favorable CROTU para edificar (según anuncio)"
532,MN Tu punto inmobiliario,Terreno,Venta,"Castañeda (Pomaluengo)",Castañeda,Cantabria,250000,1531,"Urbano (solar)","Proyecto unifamiliares; opciones al 30% (según texto)"
533,Inmobiliaria las Dunas,Terreno,Venta,"Estradas, Ribamontán al Monte (Hoz de Anero)",Ribamontán al Monte,Cantabria,80000,1888,"Urbanizable","No especificado"
534,altamira21.com,Terreno,Venta,"Poblado Riaño, Mazcuerras (Riaño de Ibio)",Mazcuerras,Cantabria,212900,3804,"No especificado","Texto: edificabilidad 1 m3/m2; aprox 1.310 m2; 7 chalets de 185 m2 (según anuncio)"
535,Opportunity & Deal,Terreno,Venta,"Avenida Solvay, Barreda, Torrelavega",Torrelavega,Cantabria,114000,1148,"Urbano (solar)","No especificado"
536,Inmobiliaria PAS-NuevoPiso,Terreno,Venta,"Barrio Santa Rosa, Villaescusa (Liaño)",Villaescusa,Cantabria,590000,6348,"Urbano (solar)","No especificado"
537,Look & Find Santander,Terreno,Venta,"Lloreda (diseminado), Santa María de Cayón",Santa María de Cayón,Cantabria,390000,5655,"Urbano (solar)","Texto: edificabilidad 0,5 m2/m2"
538,Espazio Inmobiliario,Terreno,Venta,"Barrio Casuso, Alfoz de Lloredo (Novales)",Alfoz de Lloredo,Cantabria,45000,8846,"No urbanizable","No especificado"
539,Asesoría Inmobiliaria Santos S.L.,Terreno,Venta,"Riva Redonda (Quijas), Reocín",Reocín,Cantabria,75000,3314,"Urbano (solar)","No especificado"
540,Particular/No indicado,Terreno,Venta,"Calle La Richuela, 132, Penagos (El Arenal)",Penagos,Cantabria,51400,668,"Urbano (solar)","Coef. edificabilidad 0,3 (según texto)"
541,Espazio Inmobiliario,Terreno,Venta,"Barrio San Damil, Alfoz de Lloredo (Cóbreces)",Alfoz de Lloredo,Cantabria,315000,1836,"Urbano (solar)","RA2; vistas al mar (según texto)"
542,Asesoría Inmobiliaria Santos S.L.,Terreno,Venta,"Variés, Udías (Rodezas)",Udías,Cantabria,160000,5932,"Urbanizable","No especificado"
543,Asesoría Inmobiliaria Santos S.L.,Terreno,Venta,"Castañaron, Pol.1 Parc.58, Udías",Udías,Cantabria,400000,19443,"Urbanizable","Vistas al mar (según texto)"
544,altamira21.com,Terreno,Venta,"Vía, Tanos (Viernoles), Torrelavega",Torrelavega,Cantabria,149000,3062,"Urbanizable","Proyecto vivienda 202,79 m2 (según texto)"
545,viBe,Terreno,Venta,"CA-141, Marina de Cudeyo (Gajano)",Marina de Cudeyo,Cantabria,137000,6352,"Urbano (solar)","Lote de cuatro fincas; referencias catastrales (según texto)"
546,Activa Norte Gestión Inmobiliaria,Terreno,Venta,"Barrio Puente San Miguel, 231, Puente San Miguel",Reocín,Cantabria,149000,1683,"No especificado","Texto lo describe como parcela urbana; posible segregación en dos"
